Date,Open,High,Low,Close,Volume
2021. 12. 17 오후 4:00:00,304.92,320.22,303.01,310.86,33626754
2021. 12. 20 오후 4:00:00,303.57,307.23,297.8,299.98,18826671
2021. 12. 21 오후 4:00:00,305.62,313.17,295.37,312.84,23839305
2021. 12. 22 오후 4:00:00,321.89,338.55,319.02,336.29,31211362
2021. 12. 23 오후 4:00:00,335.6,357.66,332.52,355.67,30904429
2021. 12. 27 오후 4:00:00,357.89,372.33,356.91,364.65,23715273
2021. 12. 28 오후 4:00:00,369.83,373,359.47,362.82,20107969
2021. 12. 29 오후 4:00:00,366.21,368,354.71,362.06,18718015
2021. 12. 30 오후 4:00:00,353.78,365.18,351.05,356.78,15680313
2021. 12. 31 오후 4:00:00,357.81,360.67,351.53,352.26,13577875
2022. 1. 3 오후 4:00:00,382.58,400.36,378.68,399.93,34895349
2022. 1. 4 오후 4:00:00,396.52,402.67,374.35,383.2,33416086
2022. 1. 5 오후 4:00:00,382.22,390.11,360.34,362.71,26706599
2022. 1. 6 오후 4:00:00,359,362.67,340.17,354.9,30112158
2022. 1. 7 오후 4:00:00,360.12,360.31,336.67,342.32,28054916
2022. 1. 10 오후 4:00:00,333.33,353.03,326.67,352.71,30604959
2022. 1. 11 오후 4:00:00,351.22,358.62,346.27,354.8,22021070
2022. 1. 12 오후 4:00:00,359.62,371.61,357.53,368.74,27913005
2022. 1. 13 오후 4:00:00,369.69,371.87,342.18,343.85,32403264
2022. 1. 14 오후 4:00:00,339.96,350.67,337.79,349.87,24308137
2022. 1. 18 오후 4:00:00,342.2,356.93,338.69,343.5,22329803
2022. 1. 19 오후 4:00:00,347.24,351.56,331.67,331.88,25147496
2022. 1. 20 오후 4:00:00,336.58,347.22,331.33,332.09,23496248
2022. 1. 21 오후 4:00:00,332.11,334.85,313.5,314.63,34472009
2022. 1. 24 오후 4:00:00,301.59,311.17,283.82,310,50791714
2022. 1. 25 오후 4:00:00,304.73,317.09,301.07,306.13,28865302
2022. 1. 26 오후 4:00:00,317.48,329.23,302,312.47,34955761
2022. 1. 27 오후 4:00:00,311.12,311.8,276.33,276.37,49036523
2022. 1. 28 오후 4:00:00,277.19,285.83,264,282.12,44929650
2022. 1. 31 오후 4:00:00,290.9,312.66,287.35,312.24,34812032
2022. 2. 1 오후 4:00:00,311.74,314.57,301.67,310.42,24379446
2022. 2. 2 오후 4:00:00,309.39,310.5,296.47,301.89,22264345
2022. 2. 3 오후 4:00:00,294,312.33,293.51,297.05,26285186
2022. 2. 4 오후 4:00:00,299.07,312.17,293.72,307.77,24541822
2022. 2. 7 오후 4:00:00,307.93,315.92,300.9,302.45,20331488
2022. 2. 8 오후 4:00:00,301.84,308.76,298.27,307.33,16909671
2022. 2. 9 오후 4:00:00,311.67,315.42,306.67,310.67,17419848
2022. 2. 10 오후 4:00:00,302.79,314.6,298.9,301.52,22042277
2022. 2. 11 오후 4:00:00,303.21,305.32,283.57,286.67,26548623
2022. 2. 14 오후 4:00:00,287.19,299.63,284.38,291.92,22585472
2022. 2. 15 오후 4:00:00,300,307.67,297.79,307.48,19216514
2022. 2. 16 오후 4:00:00,304.68,308.81,300.4,307.8,17098132
2022. 2. 17 오후 4:00:00,304.42,306.17,291.37,292.12,18392806
2022. 2. 18 오후 4:00:00,295.33,295.62,279.2,285.66,22833947
2022. 2. 22 오후 4:00:00,278.04,285.58,267.03,273.84,27762734
2022. 2. 23 오후 4:00:00,276.81,278.43,253.52,254.68,31752336
2022. 2. 24 오후 4:00:00,233.46,267.49,233.33,266.92,45107425
2022. 2. 25 오후 4:00:00,269.74,273.17,260.8,269.96,25355921
2022. 2. 28 오후 4:00:00,271.67,292.29,271.57,290.14,33002289
2022. 3. 1 오후 4:00:00,289.89,296.63,284.59,288.12,24922287
2022. 3. 2 오후 4:00:00,290.71,295.49,281.42,293.3,24881146
2022. 3. 3 오후 4:00:00,292.92,295.48,277.53,279.76,20541169
2022. 3. 4 오후 4:00:00,283.03,285.22,275.05,279.43,22393287
2022. 3. 7 오후 4:00:00,285.43,288.71,268.19,268.19,24164724
2022. 3. 8 오후 4:00:00,265.18,283.33,260.72,274.8,26799702
2022. 3. 9 오후 4:00:00,279.83,286.85,277.34,286.32,19727993
2022. 3. 10 오후 4:00:00,283.82,284.82,270.12,279.43,19549548
2022. 3. 11 오후 4:00:00,280.07,281.27,264.59,265.12,22345722
2022. 3. 14 오후 4:00:00,260.2,266.9,252.01,255.46,23717421
2022. 3. 15 오후 4:00:00,258.42,268.52,252.19,267.3,22280381
2022. 3. 16 오후 4:00:00,269.67,280.67,267.42,280.08,28009607
2022. 3. 17 오후 4:00:00,277,291.67,275.24,290.53,22194324
2022. 3. 18 오후 4:00:00,291.5,302.62,289.13,301.8,33471397
2022. 3. 21 오후 4:00:00,304.99,314.28,302.36,307.05,27327216
2022. 3. 22 오후 4:00:00,310,332.62,307.25,331.33,35289519
2022. 3. 23 오후 4:00:00,326.65,346.9,325.47,333.04,40225383
2022. 3. 24 오후 4:00:00,336.58,341.5,329.6,337.97,22973626
2022. 3. 25 오후 4:00:00,336,340.6,332.44,336.88,20677182
2022. 3. 28 오후 4:00:00,355.03,365.96,351.2,363.95,34168693
2022. 3. 29 오후 4:00:00,369.33,371.59,357.7,366.52,24538273
2022. 3. 30 오후 4:00:00,363.72,371.32,361.33,364.66,19955002
2022. 3. 31 오후 4:00:00,364.86,367.71,358.88,359.2,16330919
2022. 4. 1 오후 4:00:00,360.38,364.92,355.55,361.53,18087741
2022. 4. 4 오후 4:00:00,363.13,383.3,357.51,381.82,27392567
2022. 4. 5 오후 4:00:00,378.77,384.29,362.43,363.75,26691673
2022. 4. 6 오후 4:00:00,357.82,359.67,342.57,348.59,29782845
2022. 4. 7 오후 4:00:00,350.8,358.86,340.51,352.42,26482353
2022. 4. 8 오후 4:00:00,347.74,349.48,340.81,341.83,18337896
2022. 4. 11 오후 4:00:00,326.8,336.16,324.88,325.31,19785735
2022. 4. 12 오후 4:00:00,332.55,340.4,325.53,328.98,21992032
2022. 4. 13 오후 4:00:00,327.02,342.08,324.37,340.79,18373737
2022. 4. 14 오후 4:00:00,333.1,337.57,327.4,328.33,19474135
2022. 4. 18 오후 4:00:00,329.68,338.31,324.47,334.76,17238407
2022. 4. 19 오후 4:00:00,335.02,344.98,331.78,342.72,16615944
2022. 4. 20 오후 4:00:00,343.33,344.67,325.08,325.73,23570442
2022. 4. 21 오후 4:00:00,358.24,364.07,332.14,336.26,35138779
2022. 4. 22 오후 4:00:00,338.3,344.95,331.33,335.02,23232186
2022. 4. 25 오후 4:00:00,326.32,336.21,325.1,332.67,22780445
2022. 4. 26 오후 4:00:00,331.81,333.33,291.67,292.14,45377889
2022. 4. 27 오후 4:00:00,299.53,306,292.45,293.84,25652132
2022. 4. 28 오후 4:00:00,299.99,300,273.9,292.5,41649509
2022. 4. 29 오후 4:00:00,300.75,311.47,290,290.25,29377665
2022. 5. 2 오후 4:00:00,286.92,302.12,282.68,300.98,25260457
2022. 5. 3 오후 4:00:00,301.06,308.03,296.2,303.08,21236525
2022. 5. 4 오후 4:00:00,301.31,318.5,295.09,317.54,27214568
2022. 5. 5 오후 4:00:00,313.07,315.2,285.9,291.09,30839731
2022. 5. 6 오후 4:00:00,295.67,296,281.04,288.55,24301037
2022. 5. 9 오후 4:00:00,278.82,281.88,260.38,262.37,30270074
2022. 5. 10 오후 4:00:00,273.1,275.12,258.08,266.68,28133877
2022. 5. 11 오후 4:00:00,265,269.92,242.4,244.67,32408153
2022. 5. 12 오후 4:00:00,233.67,253.22,226.67,242.67,46770954
2022. 5. 13 오후 4:00:00,257.83,262.45,250.52,256.53,30716908
2022. 5. 16 오후 4:00:00,255.72,256.59,239.7,241.46,28699513
2022. 5. 17 오후 4:00:00,249.12,254.83,242.95,253.87,26745370
2022. 5. 18 오후 4:00:00,248.17,253.5,233.6,236.6,29270604
2022. 5. 19 오후 4:00:00,235.67,244.67,231.37,236.47,30098891
2022. 5. 20 오후 4:00:00,238,240.53,211,221.3,48324435
2022. 5. 23 오후 4:00:00,218.34,226.65,212.69,224.97,29634546
2022. 5. 24 오후 4:00:00,217.84,217.97,206.86,209.39,29697505
2022. 5. 25 오후 4:00:00,207.95,223.11,207.67,219.6,30713108
2022. 5. 26 오후 4:00:00,220.47,239.56,217.89,235.91,35334448
2022. 5. 27 오후 4:00:00,241.08,253.27,240.18,253.21,29764994
2022. 5. 31 오후 4:00:00,257.95,259.6,244.74,252.75,33971457
2022. 6. 1 오후 4:00:00,251.72,257.33,243.64,246.79,25749321
2022. 6. 2 오후 4:00:00,244.16,264.21,242.07,258.33,31157706
2022. 6. 3 오후 4:00:00,243.23,247.8,233.42,234.52,37464579
2022. 6. 6 오후 4:00:00,244.35,244.87,234.35,238.28,28068174
2022. 6. 7 오후 4:00:00,234,240,230.09,238.89,24269534
2022. 6. 8 오후 4:00:00,240.09,249.96,239.18,241.87,25403540
2022. 6. 9 오후 4:00:00,249.34,255.55,239.33,239.71,32163769
2022. 6. 10 오후 4:00:00,235.16,239.5,227.91,232.23,32696966
2022. 6. 13 오후 4:00:00,223.17,226.63,214.68,215.74,34255754
2022. 6. 14 오후 4:00:00,218.29,226.33,211.74,220.89,32662932
2022. 6. 15 오후 4:00:00,220.92,235.66,218.15,233,39710645
2022. 6. 16 오후 4:00:00,222.74,225.17,208.69,213.1,35796900
2022. 6. 17 오후 4:00:00,213.43,220.97,213.2,216.76,30880590
2022. 6. 21 오후 4:00:00,224.6,243.58,224.33,237.04,40930985
2022. 6. 22 오후 4:00:00,234.5,246.83,233.83,236.09,33842420
2022. 6. 23 오후 4:00:00,237.91,239.32,228.64,235.07,34734226
2022. 6. 24 오후 4:00:00,237.47,246.07,236.09,245.71,31923565
2022. 6. 27 오후 4:00:00,249.37,252.07,242.57,244.92,29726104
2022. 6. 28 오후 4:00:00,244.48,249.97,232.34,232.66,30222167
2022. 6. 29 오후 4:00:00,230.5,231.17,222.27,228.49,27632418
2022. 6. 30 오후 4:00:00,224.51,229.46,218.86,224.47,31533484
2022. 7. 1 오후 4:00:00,227,230.23,222.12,227.26,24820148
2022. 7. 5 오후 4:00:00,223,233.15,216.17,233.07,28259704
2022. 7. 6 오후 4:00:00,230.78,234.56,227.19,231.73,23951210
